roundId,multiplier,timestamp
737,1.45,2025-12-29 09:34:16.484834
738,1.76,2025-12-29 09:34:31.188077
739,1.32,2025-12-29 09:34:42.490731
740,6.3,2025-12-29 09:35:12.398135
741,1.05,2025-12-29 09:35:21.480971
742,2.42,2025-12-29 09:35:40.295591
743,17.27,2025-12-29 09:36:22.091231
744,1.11,2025-12-29 09:36:31.582924
745,5.42,2025-12-29 09:36:59.957125
746,1.43,2025-12-29 09:37:12.645015
747,4,2025-12-29 09:37:18.032924
748,2.54,2025-12-29 09:37:31.932323
749,1.16,2025-12-29 09:37:41.410176
750,30.32,2025-12-29 09:38:30.408376
751,1.04,2025-12-29 09:38:39.090372
752,1.72,2025-12-29 09:38:53.992532
753,2.08,2025-12-29 09:39:10.375763
754,96.26,2025-12-29 09:40:13.793903
755,1.6,2025-12-29 09:40:27.419651
756,3.17,2025-12-29 09:40:48.764416
757,3.42,2025-12-29 09:41:12.188827
758,1.01,2025-12-29 09:41:19.89737
759,2.17,2025-12-29 09:41:37.246166
760,11.41,2025-12-29 09:42:15.076296
761,1.77,2025-12-29 09:42:29.995038
762,1.08,2025-12-29 09:42:38.503898
763,1.74,2025-12-29 09:42:53.555601
764,1.07,2025-12-29 09:43:02.248349
765,1.27,2025-12-29 09:43:13.319262
766,1.61,2025-12-29 09:43:27.293548
767,2.76,2025-12-29 09:43:47.954727
768,1.42,2025-12-29 09:43:59.561781
769,2,2025-12-29 09:44:05.459977
770,1,2025-12-29 09:44:08.290305
771,1.12,2025-12-29 09:44:17.362841
772,2.7,2025-12-29 09:44:37.605709
773,1.08,2025-12-29 09:44:46.671579
774,2.13,2025-12-29 09:45:03.404915
775,32.66,2025-12-29 09:45:53.54292
776,2.33,2025-12-29 09:46:12.09176
777,4,2025-12-29 09:46:17.376512
778,1,2025-12-29 09:46:20.114827
779,2.29,2025-12-29 09:46:38.009081
780,1.33,2025-12-29 09:46:48.955987
781,1.02,2025-12-29 09:46:57.390699
782,4.7,2025-12-29 09:47:23.975779
783,2.32,2025-12-29 09:47:42.411567
784,4.75,2025-12-29 09:48:08.930876
785,1.58,2025-12-29 09:48:22.811722
786,8.24,2025-12-29 09:48:56.391106
787,1,2025-12-29 09:49:04.097855
788,1.98,2025-12-29 09:49:20.672611
789,6.19,2025-12-29 09:49:50.630903
790,3.8,2025-12-29 09:50:14.372579
791,1,2025-12-29 09:50:22.863887
792,8.57,2025-12-29 09:50:56.699709
793,1.82,2025-12-29 09:51:12.205142
794,1.17,2025-12-29 09:51:22.136821
795,3.22,2025-12-29 09:51:44.126851
796,1.7,2025-12-29 09:51:58.315008
797,12.75,2025-12-29 09:52:37.030738
798,3.44,2025-12-29 09:53:00.222554
799,3.16,2025-12-29 09:53:21.981888
800,1.35,2025-12-29 09:53:33.672077
801,3.45,2025-12-29 09:53:56.497168
802,2.14,2025-12-29 09:54:13.885028
803,3.27,2025-12-29 09:54:35.959504
804,3.02,2025-12-29 09:54:57.867116
805,3.59,2025-12-29 09:55:20.917476
806,1.06,2025-12-29 09:55:29.584653
807,1.41,2025-12-29 09:55:41.652988
808,1.23,2025-12-29 09:55:52.237725
809,9.73,2025-12-29 09:56:28.143755
810,2.43,2025-12-29 09:56:46.644689
811,7.49,2025-12-29 09:57:18.728561
812,2.8,2025-12-29 09:57:39.118803
813,1.56,2025-12-29 09:57:52.80569
814,2.12,2025-12-29 09:58:09.520111
815,7.09,2025-12-29 09:58:41.22531
816,1.44,2025-12-29 09:58:54.139454
817,2.71,2025-12-29 09:59:14.118939
818,1.14,2025-12-29 09:59:23.459175
819,1.28,2025-12-29 09:59:34.750039
820,3.85,2025-12-29 09:59:59.05385
821,1.81,2025-12-29 10:00:13.867608
822,1.51,2025-12-29 10:00:27.15696
823,1.28,2025-12-29 10:00:38.249079
824,1.15,2025-12-29 10:00:48.367518
825,3.93,2025-12-29 10:01:12.819259
826,1.05,2025-12-29 10:01:20.921081
827,1.79,2025-12-29 10:01:36.405244
828,2.11,2025-12-29 10:01:52.839665
829,6.77,2025-12-29 10:02:23.843677
830,1.59,2025-12-29 10:02:37.887023
831,1.41,2025-12-29 10:02:49.927979
832,1.05,2025-12-29 10:02:58.389694
833,2.66,2025-12-29 10:03:18.696949
834,1.95,2025-12-29 10:03:34.613722
835,2.96,2025-12-29 10:03:55.48491
836,4,2025-12-29 10:04:01.313848
837,9.61,2025-12-29 10:04:31.095563
838,3.99,2025-12-29 10:04:55.721194
839,1.23,2025-12-29 10:05:06.567184
840,1.99,2025-12-29 10:05:22.248878
841,6.39,2025-12-29 10:05:52.753293
842,1.58,2025-12-29 10:06:06.490495
843,1.52,2025-12-29 10:06:19.458191
844,1.34,2025-12-29 10:06:31.169884
845,1.01,2025-12-29 10:06:39.294663
846,1.07,2025-12-29 10:06:48.536586
847,6.73,2025-12-29 10:07:19.394851
848,3.83,2025-12-29 10:07:43.496077
849,2.17,2025-12-29 10:08:01.1318
850,4.31,2025-12-29 10:08:26.415171
851,2,2025-12-29 10:08:32.079054
852,1.01,2025-12-29 10:08:34.857976
853,1.83,2025-12-29 10:08:50.211843
854,2,2025-12-29 10:09:00.257095
855,1.05,2025-12-29 10:09:08.177495
856,22.72,2025-12-29 10:09:54.082925
857,3.63,2025-12-29 10:10:17.279826
858,1.91,2025-12-29 10:10:33.732713
859,82,2025-12-29 10:10:50.944037
860,1.28,2025-12-29 10:11:01.484555
861,1.53,2025-12-29 10:11:14.067889
862,2.24,2025-12-29 10:11:19.280484
863,5.13,2025-12-29 10:11:47.119941
864,2,2025-12-29 10:11:52.554327
865,1.18,2025-12-29 10:11:57.796449
866,1.63,2025-12-29 10:12:10.894078
867,2.56,2025-12-29 10:12:30.211199
868,5.01,2025-12-29 10:12:57.76692
869,1.82,2025-12-29 10:13:13.333878
870,4.64,2025-12-29 10:13:39.371736
871,2.83,2025-12-29 10:13:59.765335
872,1.22,2025-12-29 10:14:10.600727
873,27.87,2025-12-29 10:14:58.667293
874,2.85,2025-12-29 10:15:19.119817
875,2.32,2025-12-29 10:15:37.334146
876,4.55,2025-12-29 10:16:03.541296
877,1.25,2025-12-29 10:16:14.536339
878,1.07,2025-12-29 10:16:23.305332
879,3.9,2025-12-29 10:16:47.715956
880,4.47,2025-12-29 10:17:13.287896
881,1,2025-12-29 10:17:21.744509
882,1.08,2025-12-29 10:17:31.090869
883,1.59,2025-12-29 10:17:44.50619
884,1.18,2025-12-29 10:17:54.814688
885,2.21,2025-12-29 10:18:11.76446
886,1.18,2025-12-29 10:18:23.100947
887,1.11,2025-12-29 10:18:31.360362
888,3.5,2025-12-29 10:18:54.830941
889,1.92,2025-12-29 10:19:10.095813
890,3.04,2025-12-29 10:19:31.588879
891,22.92,2025-12-29 10:20:18.235681
892,1.28,2025-12-29 10:20:28.972214
893,1,2025-12-29 10:20:37.559012
894,1,2025-12-29 10:20:45.138836
895,2.07,2025-12-29 10:21:01.423798
896,3.82,2025-12-29 10:21:26.110659
897,6.43,2025-12-29 10:21:56.119061
898,3.68,2025-12-29 10:22:20.096405
899,2.64,2025-12-29 10:22:39.95842
900,1.59,2025-12-29 10:22:53.595993
901,2.94,2025-12-29 10:23:14.084519
902,1,2025-12-29 10:23:22.403221
903,1.19,2025-12-29 10:23:32.616692
904,4.19,2025-12-29 10:23:57.747667
905,21.72,2025-12-29 10:24:43.434831
906,1.26,2025-12-29 10:24:53.494166
907,1.48,2025-12-29 10:25:06.034383
908,26.72,2025-12-29 10:25:53.904763
909,3.69,2025-12-29 10:26:17.534721
910,1.06,2025-12-29 10:26:26.108942
911,1.47,2025-12-29 10:26:39.645903
912,2,2025-12-29 10:26:56.021349
913,4.76,2025-12-29 10:27:22.394335
914,1.55,2025-12-29 10:27:36.059134
915,1.46,2025-12-29 10:27:48.342546
916,2.14,2025-12-29 10:28:05.523805
917,1.29,2025-12-29 10:28:17.302501
918,4.25,2025-12-29 10:28:42.662481
919,5.86,2025-12-29 10:29:11.381305
920,2.31,2025-12-29 10:29:29.458082
921,2.73,2025-12-29 10:29:50.254346
922,1.71,2025-12-29 10:30:04.117397
923,1.47,2025-12-29 10:30:17.092711
924,693.42,2025-12-29 10:31:43.599219
925,2.11,2025-12-29 10:32:00.748675
926,1.37,2025-12-29 10:32:12.689758
927,1.22,2025-12-29 10:32:23.067102
928,7.38,2025-12-29 10:32:55.324476
929,2.45,2025-12-29 10:33:14.344088
930,3.12,2025-12-29 10:33:36.078674
931,1.29,2025-12-29 10:33:47.018177
932,1.63,2025-12-29 10:34:00.919355
933,1.34,2025-12-29 10:34:12.590729
934,1.37,2025-12-29 10:34:24.561069
935,35.76,2025-12-29 10:34:48.317512
936,1.33,2025-12-29 10:34:59.718925
937,1.36,2025-12-29 10:35:11.699373
938,5.64,2025-12-29 10:35:40.038332
939,5.46,2025-12-29 10:36:09.176738
940,1.57,2025-12-29 10:36:22.142164
941,1.71,2025-12-29 10:36:36.743068
942,2.16,2025-12-29 10:36:54.594971
943,150.67,2025-12-29 10:38:02.668229
944,5.48,2025-12-29 10:38:32.462026
945,1.29,2025-12-29 10:38:42.618901
946,2,2025-12-29 10:38:51.375555
947,1,2025-12-29 10:38:59.207483
948,2.01,2025-12-29 10:39:15.38074
949,4.92,2025-12-29 10:39:42.538198
950,2.85,2025-12-29 10:40:03.015146
951,7.34,2025-12-29 10:40:34.735978
952,181.83,2025-12-29 10:41:14.090108
953,2.54,2025-12-29 10:41:32.968511
954,1.95,2025-12-29 10:41:49.286836
955,1,2025-12-29 10:42:07.035662
956,10.22,2025-12-29 10:42:41.394836
957,1.87,2025-12-29 10:42:57.094788
